name,snr,mass_final,snr_h1,res_h1,snr_l1,res_l1,S0,p,bkg_p90,S_inj,rho90
GW231110_040320,11.5,30.6,6.466,3.104,8.356,3.132,109.7,0.4378,113,142.8,5.336
GW230605_065343,11.4,27.3,6.907,3.07,8.038,3.375,22.45,0.2488,24.94,61.7,3.815
GW230624_113103,11.4,41.7,7.629,2.748,6.519,3.77,20.77,0.0597,19.63,77.81,3.014
GW240924_000316,11.4,76,7.566,3.56,6.468,2.785,17.93,0.1493,18.78,67.36,3.168
GW200115_042309,11.3,7.2,nan,nan,nan,nan,10.03,0.5224,13.95,58.31,2.935
GW240930_234614,11.3,55.5,4.781,3.307,8.453,2.952,15.86,0.4726,19.27,29.77,4.827
GW241114_024711,11.3,68.9,7.647,2.867,9.991,7.858,15.98,0.5423,20.94,75.75,3.155
GW190701_203306,11.2,90.2,5.39,2.035,7.701,3.329,9.967,0.9204,17.74,88.54,2.686
GW191215_223052,11.2,41.4,6.886,2.572,7.962,3.961,16.81,0.3731,20.61,73.65,3.174
GW230814_061920,11.2,106,8.081,2.517,6.369,2.739,19.16,0.04975,17.52,57.57,3.31
GW230606_004305,11.1,60.8,9.16,2.754,5.215,3.697,15.12,0.4975,20.19,50.9,3.779
GW230824_033047,11.1,84,7.603,2.869,8.251,1.912,15.73,0.1692,16.98,83.7,2.702
GW230920_071124,11.1,53.8,7.062,3.81,7.192,2.623,20.62,0.5522,24.69,95.02,3.058
GW240830_211120,11.1,18.9,nan,nan,nan,nan,12.01,0.8706,18.32,83.64,2.808
GW240908_082628,11.1,65,7.063,2.924,6.602,2.081,19.13,0.2637,22.04,84.15,3.071
GW231005_091549,11,48,6.555,2.9,6.361,3.024,19.58,0.08955,19.23,74.69,3.045
GW231118_090602,11,19.6,nan,nan,nan,nan,9.905,0.9204,18.1,56.32,3.402
GW240527_230910,11,36.4,7.497,3.242,6.116,2.416,11.52,0.8756,18.68,66.69,3.176
GW241125_010116,11,101,7.21,2.5,7.664,2.494,11.27,0.995,19.11,90.34,2.76
GW190720_000836,10.9,20.8,nan,nan,nan,nan,11.61,0.801,18.81,39.57,4.136
GW190517_055101,10.8,60.1,6.48,2.866,7.521,3.169,73.63,0.403,76.33,74.84,6.059
GW200202_154313,10.8,16.76,nan,nan,nan,nan,10.37,0.7065,16.75,73.66,2.862
GW200208_130117,10.8,62.5,13.72,9.185,7.097,2.082,14.2,0.5025,17.74,96.19,2.577
GW240530_012417,10.8,21.6,nan,nan,nan,nan,15.71,0.2637,19.3,70.42,3.141
GW170729,10.7,80.3,7.344,3.078,7.666,2.725,17.58,0.8159,23.03,82.11,3.178
GW190421_213856,10.7,70.5,7.374,3.078,6.759,2.237,17.75,0.4577,21.08,63.29,3.463
GW200219_094415,10.7,62.2,5.717,2.263,8.337,3.813,20.24,0.08955,19.97,97.61,2.714
GW231118_005626,10.7,29.4,7.516,2.898,7.955,3.203,16.44,0.2836,18.9,72.75,3.058
GW240621_200935,10.7,70,4.996,2.705,8.637,2.755,14.24,0.6667,19.79,75.06,3.081
GW190413_134308,10.6,78,4.876,2.829,7.362,2.687,14.35,0.592,18.91,73.19,3.049
GW200128_022011,10.6,71,7.401,2.247,6.778,3.942,10.72,0.9453,17.62,86.96,2.701
GW230609_064958,10.6,58,5.574,2.61,8.673,2.46,15.56,0.4527,19.1,55.87,3.508
GW240501_033534,10.6,63.1,6.708,2.608,7.131,2.579,16.82,0.3134,19.52,82.4,2.92
GW240630_101703,10.6,48,7.308,2.971,6.928,2.849,18.01,0.1891,19.71,55.25,3.583
GW240902_143306,10.6,40.8,7.738,2.602,6.43,3.208,14.51,0.5323,19.46,83.71,2.893
GW230904_051013,10.5,17.1,nan,nan,nan,nan,17.67,0.3333,20.32,96.16,2.758
GW230928_215827,10.5,79,6.776,3.11,6.526,2.643,17.85,0.403,21.19,83.35,3.025
GW231113_200417,10.5,18.3,nan,nan,nan,nan,11.27,0.6617,17.06,81.57,2.744
GW240907_153833,10.5,63,6.428,2.923,7.508,2.913,14.78,0.7463,21.19,87.07,2.96
GW241116_151753,10.5,95,7.922,3.191,5.239,2.595,14.87,0.2488,17.21,64.96,3.089
GW250118_055802,10.5,16.6,nan,nan,nan,nan,11.53,0.4229,16.24,74.96,2.793
GW191230_180458,10.4,82,59.72,40.52,6.947,2.641,14.17,0.4876,18.52,63.88,3.231
GW231005_021030,10.4,127,6.531,1.734,7.537,2.139,16.05,0.3184,18.18,60.67,3.285
GW231213_111417,10.4,59.6,6.634,2.082,7.498,3.178,19.61,0.6965,23.73,76.28,3.347
GW240527_183429,10.4,80,7.399,2.266,5.5,3.176,13.59,0.8159,19.83,56.14,3.566
