# f[Hz]  Omega_total  Omega_last_bounce  Omega_comb_tail
# NVG derived template: f* = 2.80e-05 Hz, Omega* = 1.20e-09,
# comb spacing 2^(-1/3) = 0.7937, dilution 2^(4/3) = 2.5198
4.570882e-05  1.044079e-09  7.926480e-10  2.514313e-10
4.677351e-05  9.996889e-10  7.621975e-10  2.374915e-10
4.786301e-05  9.557819e-10  7.317275e-10  2.240544e-10
4.897788e-05  9.124840e-10  7.013548e-10  2.111292e-10
5.011872e-05  8.699104e-10  6.711888e-10  1.987216e-10
5.128614e-05  8.281660e-10  6.413317e-10  1.868343e-10
5.248075e-05  7.873448e-10  6.118778e-10  1.754670e-10
5.370318e-05  7.475300e-10  5.829132e-10  1.646168e-10
5.495409e-05  7.087940e-10  5.545154e-10  1.542786e-10
5.623413e-05  6.711986e-10  5.267537e-10  1.444449e-10
5.754399e-05  6.347954e-10  4.996889e-10  1.351066e-10
5.888437e-05  5.996261e-10  4.733734e-10  1.262527e-10
6.025596e-05  5.657229e-10  4.478518e-10  1.178711e-10
6.165950e-05  5.331089e-10  4.231606e-10  1.099483e-10
6.309573e-05  5.017989e-10  3.993291e-10  1.024698e-10
6.456542e-05  4.717996e-10  3.763792e-10  9.542045e-11
6.606934e-05  4.431109e-10  3.543264e-10  8.878446e-11
6.760830e-05  4.157256e-10  3.331801e-10  8.254556e-11
6.918310e-05  3.896309e-10  3.129437e-10  7.668721e-11
7.079458e-05  3.648082e-10  2.936155e-10  7.119272e-11
7.244360e-05  3.412347e-10  2.751893e-10  6.604538e-11
7.413102e-05  3.188830e-10  2.576544e-10  6.122857e-11
7.585776e-05  2.977223e-10  2.409965e-10  5.672583e-11
7.762471e-05  2.777189e-10  2.251979e-10  5.252096e-11
7.943282e-05  2.588365e-10  2.102384e-10  4.859811e-11
8.128305e-05  2.410368e-10  1.960950e-10  4.494182e-11
8.317638e-05  2.242801e-10  1.827431e-10  4.153705e-11
8.511380e-05  2.085254e-10  1.701561e-10  3.836927e-11
8.709636e-05  1.937310e-10  1.583066e-10  3.542445e-11
8.912509e-05  1.798550e-10  1.471659e-10  3.268909e-11
9.120108e-05  1.668552e-10  1.367049e-10  3.015026e-11
9.332543e-05  1.546897e-10  1.268941e-10  2.779559e-11
9.549926e-05  1.433170e-10  1.177037e-10  2.561327e-11
9.772372e-05  1.326963e-10  1.091042e-10  2.359208e-11
1.000000e-04  1.227876e-10  1.010663e-10  2.172133e-11
1.023293e-04  1.135519e-10  9.356096e-11  1.999094e-11
1.047129e-04  1.049513e-10  8.655995e-11  1.839132e-11
1.071519e-04  9.694906e-11  8.003560e-11  1.691346e-11
1.096478e-04  8.950985e-11  7.396100e-11  1.554885e-11
1.122018e-04  8.259961e-11  6.831013e-11  1.428948e-11
1.148154e-04  7.618568e-11  6.305786e-11  1.312782e-11
1.174898e-04  7.023685e-11  5.818002e-11  1.205683e-11
1.202264e-04  6.472332e-11  5.365344e-11  1.106988e-11
1.230269e-04  5.961674e-11  4.945594e-11  1.016080e-11
1.258925e-04  5.489017e-11  4.556638e-11  9.323791e-12
1.288250e-04  5.051811e-11  4.196464e-11  8.553471e-12
1.318257e-04  4.647640e-11  3.863160e-11  7.844801e-12
1.348963e-04  4.274226e-11  3.554916e-11  7.193095e-12
1.380384e-04  3.929419e-11  3.270020e-11  6.593991e-12
1.412538e-04  3.611199e-11  3.006855e-11  6.043436e-12
1.445440e-04  3.317665e-11  2.763899e-11  5.537663e-12
1.479108e-04  3.047035e-11  2.539717e-11  5.073177e-12
